"department = sweing";"department = finishing_finishing ";"team";"targeted_productivity";"smv";"over_time";"idle_men";"no_of_style_change";"work_cond_f2";"actual_productivity"
1;0;11;0.75;10.05;3240.0;0.0;0.0;56.326739488898085;0.750027778
1;0;7;0.6;30.48;6840.0;0.0;1.0;47.89582956808687;0.630402924
1;0;7;0.7;22.52;10170.0;0.0;0.0;50.82042084309609;0.7005416999999999
1;0;7;0.8;25.9;10170.0;0.0;0.0;42.30291109911051;0.850136766
1;0;4;0.5;22.4;10170.0;0.0;0.0;54.56896464015992;0.500380799
1;0;14;0.7;22.94;12180.0;0.0;0.0;55.13595416151473;0.18754059175
0;1;7;0.8;2.9;960.0;0.0;0.0;49.96393024425988;0.5407291670000001
1;0;14;0.8;26.16;10620.0;0.0;0.0;29.059600443976386;0.21262557775
1;0;2;0.4;15.28;5400.0;30.0;1.0;27.222748569593044;0.30277037
0;1;4;0.8;3.94;3840.0;0.0;0.0;36.964117361791686;0.893663194
0;1;14;0.75;3.94;1920.0;0.0;0.0;40.721527939370375;0.20315625
0;1;11;0.8;4.15;1440.0;0.0;0.0;29.615313071614423;0.668087121
1;0;11;0.8;19.31;4800.0;0.0;0.0;42.958309023257875;0.800250962
1;0;13;0.8;15.26;4080.0;0.0;0.0;44.487769678401094;0.999999
0;1;6;0.6;2.9;1200.0;0.0;0.0;49.4852921877757;0.314166667
0;1;9;0.8;3.94;960.0;0.0;0.0;49.28013657836413;0.549791667
1;0;2;0.6;30.33;6840.0;0.0;1.0;65.18731051717579;0.328131579
0;1;12;0.8;5.13;2400.0;0.0;0.0;63.95633497144615;0.78375
1;0;9;0.7;29.12;6960.0;0.0;0.0;60.57679629834672;0.7505931029999999
0;1;8;0.8;2.9;960.0;0.0;0.0;59.15514952039334;0.6645833329999999
0;1;9;0.8;3.94;960.0;0.0;0.0;68.64494698486125;0.697708333
1;0;5;0.7;27.48;6960.0;0.0;0.0;39.327168426653884;0.7004241379999999
1;0;14;0.8;28.08;10530.0;0.0;0.0;41.425382500410194;0.2
0;1;11;0.8;2.9;960.0;0.0;0.0;40.894967117997766;0.758229167
1;0;14;0.75;22.94;6960.0;0.0;0.0;35.433839904829526;0.21259051725000003
1;0;4;0.75;30.1;7020.0;0.0;1.0;72.21961701684118;0.750356125
0;1;2;0.75;3.9;1920.0;0.0;0.0;67.17454811747879;0.8192708329999999
1;0;5;0.7;30.1;7020.0;0.0;0.0;50.98835446161864;0.700618234
0;1;10;0.8;3.94;1440.0;0.0;0.0;51.401805936943994;0.979527778
1;0;14;0.7;26.82;6960.0;0.0;0.0;46.78372619248685;0.187662931
1;0;12;0.8;11.61;6975.0;0.0;0.0;60.23910978814682;0.800030199
1;0;4;0.8;28.08;6900.0;0.0;0.0;66.80623088143491;0.800076522
0;1;2;0.6;3.9;960.0;0.0;0.0;65.59853296796798;0.950625
1;0;1;0.8;22.52;6780.0;0.0;0.0;33.22707897762351;0.900135693
0;1;6;0.75;2.9;3360.0;0.0;0.0;52.91887957106961;0.309333333
1;0;8;0.8;25.9;10260.0;0.0;0.0;52.64512537680536;0.850252525
1;0;2;0.7;30.33;1680.0;0.0;1.0;59.12017213570682;0.700623
1;0;6;0.75;18.79;3960.0;0.0;0.0;59.28836582822241;0.75065101
0;1;7;0.8;4.6;6000.0;0.0;0.0;41.78983804134846;0.825444444
0;1;4;0.8;3.94;4440.0;0.0;0.0;39.357433020540036;0.966781346
1;0;14;0.75;26.82;7080.0;0.0;0.0;47.9779196595379;0.22501525425000002
1;0;6;0.75;18.79;3960.0;0.0;0.0;38.163635949320366;0.75065101
1;0;1;0.8;26.16;10620.0;0.0;0.0;29.059600443976386;0.850502311
0;1;2;0.65;3.9;1920.0;0.0;0.0;34.40672153535205;0.528125
1;0;11;0.8;11.61;0.0;20.0;0.0;48.912839056392855;0.6824330359999999
1;0;11;0.75;19.31;9900.0;0.0;0.0;49.82211174905206;0.7500578509999999
1;0;13;0.8;11.61;4950.0;0.0;0.0;55.4472632415004;0.999999
0;1;4;0.8;3.94;12600.0;0.0;0.0;74.37068003058386;0.919905405
1;0;7;0.8;25.9;10170.0;0.0;0.0;24.642950221659056;0.850136766
1;0;7;0.6;23.54;6600.0;0.0;0.0;48.48460070614302;0.285333333
0;1;6;0.8;2.9;960.0;0.0;0.0;49.626637321297636;0.8319375
1;0;14;0.75;22.94;6960.0;0.0;0.0;49.06931509787104;0.21259051725000003
1;0;14;0.8;22.52;3840.0;0.0;0.0;50.89264879744975;0.20011762824999998
1;0;13;0.75;15.26;4200.0;0.0;0.0;41.63147243498228;0.999999
1;0;3;0.7;30.1;6960.0;0.0;1.0;54.91101890649275;0.700603448
1;0;12;0.8;11.61;5310.0;0.0;0.0;40.388590626123516;0.8001409690000001
1;0;6;0.75;20.2;3120.0;0.0;0.0;33.10072324102756;0.750212553
0;1;9;0.8;3.94;960.0;0.0;0.0;50.64465101912186;0.54175
0;1;14;0.75;3.94;960.0;0.0;0.0;52.19624448736608;0.22265104175
1;0;1;0.8;26.16;10620.0;0.0;0.0;38.897612157036264;0.8001171029999999
0;1;3;0.75;4.15;1920.0;0.0;0.0;59.982663667533615;0.875390625
1;0;10;0.75;19.31;6480.0;0.0;0.0;69.22059812517571;0.712205247
1;0;13;0.8;15.26;4080.0;0.0;0.0;47.99246429311398;0.999999
0;1;14;0.75;3.94;1800.0;0.0;0.0;67.15767449453477;0.22759469699999998
1;0;14;0.8;22.52;6900.0;0.0;0.0;49.8350765441412;0.25000463775
0;1;9;0.8;3.94;2400.0;0.0;0.0;39.01390839820014;0.753525
1;0;3;0.65;30.1;600.0;0.0;1.0;42.40205613821336;0.802243319
0;1;3;0.8;3.94;960.0;0.0;0.0;56.474390317504906;0.4925
1;0;4;0.7;22.52;10170.0;0.0;0.0;67.2089066095232;0.7005416999999999
1;0;11;0.75;10.05;0.0;0.0;0.0;60.31036826705171;0.750648148
0;1;12;0.8;2.9;1440.0;0.0;0.0;70.17304649222766;0.793844697
0;1;5;0.5;4.15;1440.0;0.0;0.0;57.02009346832482;0.337973485
0;1;11;0.65;4.15;2160.0;0.0;0.0;48.96412158427202;0.8383838379999999
0;1;3;0.75;3.94;1440.0;0.0;0.0;69.91939907019716;0.861875
0;1;7;0.8;3.94;960.0;0.0;0.0;57.56077946785644;0.676666667
1;0;13;0.8;15.26;2880.0;0.0;0.0;61.65744225208754;0.999999
1;0;9;0.75;18.79;6240.0;0.0;0.0;64.2051792041979;0.750395513
1;0;14;0.8;28.08;10530.0;0.0;0.0;34.3577430930991;0.2
1;0;8;0.35;30.1;6960.0;0.0;1.0;50.148091552102656;0.350301724
0;1;6;0.8;2.9;4800.0;0.0;0.0;48.7879111403668;0.626822917
0;1;14;0.8;3.94;2160.0;0.0;0.0;29.627582460704925;0.21888888899999998
0;1;10;0.75;3.94;1800.0;0.0;0.0;34.41958188286948;0.937242424
1;0;8;0.7;24.26;6660.0;0.0;0.0;29.53717987801292;0.586465465
1;0;1;0.8;26.16;7080.0;0.0;0.0;41.135239894121405;0.8003186440000001
0;1;5;0.7;4.15;240.0;0.0;0.0;53.53453695706671;0.58
0;1;6;0.8;2.9;1440.0;0.0;0.0;5.672828636511667;0.597348485
1;0;8;0.7;29.4;6840.0;0.0;2.0;46.60205273172982;0.700614035
1;0;10;0.8;22.52;6720.0;0.0;0.0;42.31640003092324;0.999995238
1;0;6;0.75;18.79;3960.0;0.0;0.0;69.95999992683234;0.75065101
0;1;1;0.8;3.94;1440.0;0.0;0.0;41.89553764641319;0.7962083329999999
0;1;10;0.75;3.94;1440.0;0.0;0.0;51.24702579585267;0.779791667
0;1;2;0.75;3.94;1440.0;0.0;0.0;46.346678034161286;0.970075758
0;1;11;0.7;4.15;1440.0;0.0;0.0;37.612800297306435;0.436326389
1;0;4;0.7;30.1;3300.0;0.0;1.0;53.27438156884798;0.7900032359999999
1;0;7;0.8;25.9;10170.0;0.0;0.0;51.82266524182844;0.800128721
0;1;1;0.7;3.94;960.0;0.0;0.0;51.52972993480422;0.8068791670000001
0;1;8;0.8;2.9;1440.0;0.0;0.0;67.08502305143404;0.639867424
1;0;14;0.8;28.08;10350.0;0.0;0.0;36.46514468290262;0.2001486165
0;1;2;0.7;3.9;1200.0;0.0;0.0;59.736894549116855;0.884
0;1;10;0.7;2.9;1800.0;0.0;0.0;48.66266739277409;0.902222222
1;0;14;0.8;22.52;6900.0;0.0;0.0;58.51492052834934;0.25000463775
1;0;5;0.65;21.98;10440.0;0.0;0.0;60.52828369934377;0.649983281
1;0;12;0.8;15.26;4080.0;0.0;0.0;78.04145617757405;0.8004019609999999
0;1;10;0.7;2.9;3360.0;0.0;0.0;43.7358061331229;0.41083333299999997
1;0;8;0.8;25.9;3630.0;0.0;0.0;37.15283831623927;0.800162602
0;1;13;0.75;4.08;1080.0;0.0;0.0;67.53765209101802;0.999999
1;0;2;0.7;30.33;6960.0;0.0;1.0;41.15317648193562;0.66237931
0;1;14;0.8;3.94;2160.0;0.0;0.0;42.93821987403507;0.24625
0;1;3;0.8;4.6;1200.0;0.0;0.0;34.46937061843525;0.9391666670000001
1;0;11;0.7;14.89;10260.0;0.0;0.0;36.0983876327151;0.700170388
0;1;4;0.8;3.94;1200.0;0.0;0.0;49.72487367866961;0.971866667
0;1;4;0.8;4.3;960.0;0.0;0.0;54.562743458329784;0.44791666700000005
1;0;5;0.8;11.61;7080.0;0.0;0.0;54.904246333478916;0.800148649
1;0;12;0.8;15.26;4080.0;0.0;0.0;56.99523363406904;0.8004019609999999
1;0;13;0.35;15.26;6120.0;0.0;0.0;20.122262814612647;0.999999
1;0;5;0.65;20.79;7080.0;0.0;0.0;33.283823670905235;0.800473729
1;0;3;0.8;19.87;6420.0;0.0;0.0;37.73626243793054;0.690182815
1;0;1;0.6;22.53;5040.0;0.0;1.0;32.53561517375421;0.268214286
0;1;5;0.8;4.6;7560.0;0.0;0.0;35.68137984783593;0.921604938
1;0;2;0.75;19.87;6600.0;0.0;0.0;52.63997511014935;0.75024303
1;0;14;0.8;22.52;6840.0;0.0;0.0;72.99926288975664;0.25005760225
0;1;9;0.75;2.9;1800.0;0.0;0.0;55.225592186723325;0.821666667
1;0;14;0.8;22.52;6780.0;0.0;0.0;57.967905603003494;0.22503392325
1;0;9;0.8;26.16;10620.0;0.0;0.0;36.97989750248837;0.8511741140000001
0;1;9;0.75;2.9;960.0;0.0;0.0;37.97515682639877;0.4078125
1;0;9;0.75;29.12;6960.0;0.0;0.0;65.4168141213447;0.7505931029999999
0;1;4;0.8;3.94;6600.0;0.0;0.0;41.25509761248621;0.8616790120000001
1;0;5;0.7;27.48;6840.0;0.0;0.0;35.580643847926495;0.7006596490000001
1;0;8;0.75;29.4;6840.0;0.0;0.0;62.94380175465203;0.750473684
0;1;13;0.8;4.6;3780.0;0.0;0.0;41.22707077728883;0.999999
1;0;6;0.75;18.79;3360.0;0.0;0.0;56.1408787539924;0.7506213540000001
1;0;9;0.7;29.12;6960.0;0.0;0.0;82.43904138395442;0.850170115
1;0;12;0.8;15.26;4080.0;0.0;0.0;53.93587158384896;0.8004019609999999
0;1;9;0.8;3.94;1440.0;0.0;0.0;60.62533271687812;0.891723485
0;1;1;0.8;3.94;1440.0;0.0;0.0;67.22891295720675;0.853666667
1;0;2;0.8;28.08;10050.0;0.0;0.0;56.9409034886549;0.8004972459999999
1;0;6;0.8;11.41;14640.0;0.0;0.0;58.17873886984255;0.800024932
0;1;14;0.8;3.94;1200.0;0.0;0.0;70.69016868566516;0.24296666675
1;0;1;0.8;28.08;6300.0;0.0;0.0;47.57493525909692;0.800725314
1;0;1;0.65;22.94;10260.0;0.0;0.0;37.970576009086145;0.700029771
0;1;10;0.75;3.94;3780.0;0.0;0.0;54.47652703516525;0.997792208
1;0;9;0.75;18.79;6240.0;0.0;1.0;51.21830224834636;0.750395513
0;1;14;0.7;3.9;960.0;0.0;0.0;44.14339247343555;0.139140625
1;0;2;0.8;28.08;10530.0;0.0;0.0;34.3577430930991;0.8
1;0;9;0.8;29.12;6960.0;0.0;0.0;47.57471332299142;0.7999632179999999
1;0;1;0.75;26.82;7140.0;0.0;0.0;30.423607102277018;0.8504268909999999
0;1;14;0.8;3.94;1800.0;0.0;0.0;33.7085253698529;0.24522727274999997
1;0;10;0.8;22.52;6720.0;0.0;0.0;51.193639043655054;0.920236905
1;0;6;0.35;18.79;1800.0;0.0;0.0;40.91218829209695;0.43799533799999996
0;1;1;0.8;3.94;1440.0;0.0;0.0;47.3807889949041;0.951420455
0;1;7;0.8;2.9;1440.0;0.0;0.0;35.66648235116854;0.681060606
0;1;9;0.8;3.94;1800.0;0.0;0.0;45.991778922255314;0.82680303
1;0;8;0.8;25.9;6780.0;0.0;0.0;30.54160517854055;0.8006843659999999
1;0;5;0.7;30.1;6960.0;0.0;0.0;58.764631143950794;0.562212644
1;0;1;0.8;22.52;3840.0;0.0;0.0;50.89264879744975;0.8004705129999999
0;1;2;0.75;3.94;960.0;0.0;0.0;64.54732962493938;0.755166667
1;0;9;0.7;28.08;6900.0;0.0;0.0;76.29657811673201;0.699965217
1;0;14;0.8;28.08;10050.0;0.0;0.0;56.9409034886549;0.20012431149999999
0;1;13;0.7;4.15;1080.0;0.0;0.0;67.69643650602742;0.999999
